objectid,parentid,title,creator,date,estimatedate,description,object_transcript,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
cletter_2e,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2e.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2e_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2e_th.jpg,
cletter_2f,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2f.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2f_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2f_th.jpg,
cletter_2g,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2g.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2g_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2g_th.jpg,
cletter_2h,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2h.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2h_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2h_th.jpg,
cletter_2i,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2i.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2i_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2i_th.jpg,
cletter_2j,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2j.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2j_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2j_th.jpg,
cletter_2k,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2k.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2k_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2k_th.jpg,
cletter_2l,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2l.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2l_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2l_th.jpg,
letter4,,"Letter, Peter to Kathleen","O'Reilly, Peter",1897-05-25,,Asks for Photos https://www.vilocalhistory.ca/wiki/peter-to-kathleen-victoria-bc-may-25-1897/,,,,,,BC Archives; Vancouver Island Local History Society,,,,,,,record,,,,
letter5,,"Letter, Peter to Kathleen","O'Reilly, Peter",1897-06-16,,"Asks for Photos
https://www.vilocalhistory.ca/wiki/peter-to-kathleen-victoria-bc-june-16-1897/ ",,,,,,BC Archives; Vancouver Island Local History Society,,,,,,,record,,,,
plist1,,Passenger List,,1887-12-10,,,,RMS Etruria,"Liverpool, England",,,BC Archives,"MS-2894, Box 59, File 5",,,,,,Multiple,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/plist1.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/plist1_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/plist1_th.jpg,
plist2,plist1,,,,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/plist2.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/plist2_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/plist2_th.jpg,
